,name,isMarried,isNoble,numDeadRelations,popularity,isAlive
366,Big Boil,0,0,0,0.00668896321070234,1
367,Blind Doss,0,0,0,0.0,1
368,Blane,0,0,0,0.020066889632107,1
369,Bodger,0,0,0,0.00668896321070234,1
370,Borcas,0,0,0,0.0,1
371,Bors,0,0,0,0.00668896321070234,1
372,Borroq,0,0,0,0.0267558528428093,1
373,Boy,0,0,0,0.0100334448160535,1
374,Brandon Stark (Bad),0,1,0,0.0167224080267558,1
375,Brandon Stark (Burner),0,0,0,0.0334448160535117,1
376,Brandon Stark (the daughterless),0,1,0,0.0334448160535117,1
377,Brandon Stark (son of Cregan),1,1,0,0.14381270903010002,1
378,Brandon Stark (Shipwright),0,0,0,0.0367892976588628,1
379,Brea,0,0,0,0.0234113712374581,1
380,Brella,0,0,0,0.0167224080267558,1
381,Brenett,0,1,0,0.00334448160535117,1
382,Briar,0,0,0,0.0100334448160535,1
383,Brogg,0,0,0,0.00668896321070234,1
384,Brusco,0,0,0,0.0468227424749163,1
385,Brown Bernarr,0,0,0,0.0234113712374581,0
386,Bryan of Oldtown,0,0,0,0.00334448160535117,1
387,Bryen,0,0,0,0.0167224080267558,1
388,Buford Bulwer,0,1,0,0.0167224080267558,1
389,Bump,0,0,0,0.0234113712374581,1
390,Buu,0,0,0,0.0,1
391,Byan Votyris,0,0,0,0.0,1
392,Byam Flint,0,1,0,0.020066889632107,0
393,Byren Flowers,0,1,0,0.00668896321070234,1
394,Byron,0,1,0,0.020066889632107,1
395,Cadwyl,0,0,0,0.0100334448160535,1
396,Lord Cafferen,0,1,0,0.020066889632107,0
397,Calon,0,0,0,0.0133779264214046,1
398,Cadwyn,0,1,0,0.0,1
399,Canker Jeyne,0,0,0,0.0100334448160535,1
400,Carellen Smallwood,0,0,0,0.0367892976588628,1
401,Cass,0,0,0,0.0167224080267558,1
402,Carrot,0,0,0,0.0100334448160535,1
403,Castos,0,1,0,0.00668896321070234,1
404,Cedra,0,0,0,0.0133779264214046,1
405,Catelyn Bracken,0,0,0,0.0301003344481605,1
406,Cedric Payne,0,1,0,0.0133779264214046,0
407,Cedrik Storm,0,0,0,0.00334448160535117,1
408,Cerrick,0,1,0,0.00668896321070234,1
409,Cetheres,0,1,0,0.00668896321070234,1
410,Catelyn Stark,1,1,7,0.0,0
411,Cheyk,0,0,0,0.0133779264214046,1
412,Chiggen,0,0,0,0.0167224080267558,0
413,Clarence Crabb,0,1,0,0.0267558528428093,1
414,Clarence Charlton,0,1,0,0.0133779264214046,1
415,Clarence Crabb (Short),0,1,0,0.00668896321070234,1
416,Clement,0,1,0,0.0133779264214046,1
417,Cleyton Caswell,0,1,0,0.00334448160535117,1
418,Clifford Conklyn,0,1,0,0.00668896321070234,1
419,Colen of Greenpools,0,1,0,0.0167224080267558,1
420,Collio Quaynis,0,0,0,0.0167224080267558,1
421,Conn,0,0,0,0.0133779264214046,0
422,Coratt,0,0,0,0.00334448160535117,1
423,Cosgrove,0,1,0,0.0,1
424,Cossomo,0,0,0,0.0133779264214046,1
425,Courtenay Greenhill,0,1,0,0.0,1
426,Cregan Karstark,0,0,0,0.0668896321070234,1
427,Cutjack,0,0,0,0.0334448160535117,1
428,Dacks,0,0,0,0.0,1
429,Daella Targaryen (daughter of Jaehaerys I),1,1,0,0.0869565217391304,0
430,Daella Targaryen (daughter of Maekar I),0,1,0,0.0802675585284281,0
431,Daenerys Targaryen (daughter of Aegon IV),1,1,10,0.0936454849498327,0
432,Daeron I Targaryen,0,0,7,0.518394648829431,0
433,Daena Targaryen,1,1,7,0.227424749163879,0
434,Daeryssa,0,1,0,0.00668896321070234,1
435,Daeron Targaryen (son of Viserys I),0,1,0,0.227424749163879,0
436,Dagon Ironmaker,0,0,0,0.0167224080267558,1
437,Daeron Targaryen (son of Maekar I),1,1,0,0.130434782608695,0
438,Daeron II Targaryen,0,0,10,0.765886287625418,0
439,Dake,0,0,0,0.0100334448160535,1
440,Dale Drumm,0,0,0,0.0100334448160535,1
441,Dalla (Dragonstone),0,0,0,0.00668896321070234,1
442,Damon Lannister (lord),1,1,0,0.0,0
443,Dan,0,0,0,0.00334448160535117,1
444,Damon Lannister (son of Jason),1,0,0,0.060200668896321,1
445,Darla Deddings,0,1,0,0.0100334448160535,1
446,Danos Slynt,0,0,0,0.0234113712374581,1
447,Daughter of the Dusk,0,0,0,0.0133779264214046,1
448,Del,0,0,0,0.0133779264214046,0
449,Denestan,0,1,0,0.0100334448160535,1
450,Denyo Terys,0,0,0,0.0167224080267558,1
451,Dennis Plumm,0,1,0,0.0267558528428093,1
452,Denys Drumm,0,0,0,0.0167224080267558,1
453,Denys Redwyne,0,0,0,0.0735785953177257,1
454,Denyse Hightower,1,0,0,0.0735785953177257,1
455,Dhazzar,0,1,0,0.0133779264214046,1
456,Dick Follard,0,0,0,0.0301003344481605,0
457,Dickon Manwoody,0,0,0,0.0267558528428093,1
458,Dobber,0,0,0,0.0267558528428093,0
459,Donnel Drumm,0,0,0,0.0167224080267558,1
460,Donel Greyjoy,0,0,0,0.060200668896321,1
461,Donella Hornwood,1,1,0,0.0969899665551839,0
462,Donnel Hill,0,0,0,0.0434782608695652,1
463,Donnis,0,0,0,0.00668896321070234,1
464,Donyse,0,0,0,0.0,1
465,Dorcas,0,0,0,0.020066889632107,1
466,Dornish Dilly,0,0,0,0.00334448160535117,0
467,Dorren Stark,0,0,0,0.0133779264214046,1
468,Draqaz,0,1,0,0.0167224080267558,1
469,Drennan,0,0,0,0.0133779264214046,0
470,Dudley,0,1,0,0.0,1
471,Dryn,0,0,0,0.0167224080267558,1
472,Dunaver,0,1,0,0.00668896321070234,1
473,Durran,0,0,0,0.0434782608695652,1
474,Dyah,1,0,0,0.0167224080267558,1
475,Dykk Harlaw,0,0,0,0.0100334448160535,0
476,Easy,0,0,0,0.00334448160535117,0
477,Duncan Targaryen,1,1,6,0.140468227424749,0
478,Edgerran Oakheart,0,1,0,0.00668896321070234,1
479,Eden Risley,0,1,0,0.00334448160535117,1
480,Edmund Ambrose,0,1,0,0.0234113712374581,1
481,Edwyn Osgrey,0,1,0,0.020066889632107,0
482,Eggon,0,0,0,0.0133779264214046,1
483,Eglantine,0,0,0,0.00668896321070234,1
484,Egon Emeros,0,0,0,0.0133779264214046,1
485,Eldiss,0,0,0,0.0133779264214046,1
486,Eldred Codd,0,0,0,0.0167224080267558,1
487,Elaena Targaryen,1,1,7,0.13712374581939699,0
488,Elys Westerling,0,1,0,0.0133779264214046,1
489,Elyas Willum,0,0,0,0.0133779264214046,1
490,Elza,0,0,0,0.0100334448160535,0
491,Emma,0,0,0,0.0167224080267558,1
492,Elys Waynwood,1,1,0,0.0702341137123745,1
493,Emrick,0,0,0,0.0434782608695652,1
